,animal,day,session,cell,coherence,spatial info,exposure number
0,AM8,2021-4-13,1m floor s2,TT1_SS_07.txt,0.294484263,0.568668425,3
1,AM8,2021-4-13,1m floor s2,TT4_SS_08.txt,0.491138772,0.461622618,3
2,AM8,2021-4-13,1m floor s2,TT4_SS_09.txt,0.288271149,0.300341736,3
3,AM8,2021-4-6,1m floor s2,TT1_SS_02.txt,0.554684984,0.503592756,1
4,AM8,2021-4-6,1m floor s2,TT1_SS_03.txt,0.50003675,1.653901696,1
5,AM8,2021-4-6,1m floor s2,TT1_SS_08.txt,0.25970487,0.292290317,1
6,AM8,2021-4-6,1m floor s2,TT2_SS_01.txt,0.266581622,0.264565153,1
7,AM8,2021-4-6,1m floor s2,TT2_SS_03.txt,0.164632929,0.182354317,1
8,AM8,2021-4-9,1m floor s2,TT1_SS_01.txt,0.329928202,0.389498709,2
9,AM8,2021-4-9,1m floor s2,TT1_SS_07.txt,0.333746107,0.368828761,2
10,AM8,2021-4-9,1m floor s2,TT1_SS_12.txt,0.308607911,0.340695869,2
11,PL68,2019-4-22a,1m floor s2,TT2_SS_01.txt,0.358339441,0.370405747,1
12,PL68,2019-4-22a,1m floor s2,TT2_SS_02.txt,0.436883848,1.012428131,1
13,PL68,2019-4-22a,1m floor s2,TT2_SS_05.txt,0.410192273,1.047801568,1
14,PL68,2019-5-6,1m floor s2,TT2_SS_02.txt,0.357387363,0.451149918,3
15,PL68,2019-5-6,1m floor s2,TT2_SS_03.txt,0.385545243,0.390644635,3
16,PL73,2019-10-21,1m floor s2,TT1_SS_02.txt,0.499183957,0.754598198,1
17,PL73,2019-10-21,1m floor s2,TT1_SS_06.txt,0.199465543,0.497747925,1
18,PL73,2019-10-21,1m floor s2,TT1_SS_07.txt,0.409612017,0.851368495,1
19,PL73,2019-10-21,1m floor s2,TT1_SS_09.txt,0.271483182,0.331242535,1
20,PL73,2019-10-28,1m floor s2,TT3_SS_01.txt,0.064660007,0.600082494,2
21,PL73,2019-10-28,1m floor s2,TT3_SS_03.txt,0.152786971,0.642062641,2
22,PL76,2019-12-11,1m floor s2,TT3_SS_08.txt,0.114702658,0.259063015,5
23,PL76,2019-12-11,1m floor s2,TT3_SS_13.txt,0.253534138,0.244544222,5
24,PL76,2019-12-13,1m floor s2,TT3_SS_02.txt,0.433643699,0.292900991,6
25,PL76,2019-12-13,1m floor s2,TT3_SS_04.txt,0.575917044,0.683418322,6
26,PL76,2019-12-4,1m floor s2,TT3_SS_01.txt,0.399466235,0.366559137,1
27,PL76,2019-12-4,1m floor s2,TT3_SS_02.txt,0.443364994,0.484315853,1
28,PL76,2019-12-5,1m floor s2,TT1_SS_01.txt,0.690921905,1.504085635,2
29,PL76,2019-12-6,1m floor s2,TT4_SS_02.txt,0.352893647,0.564618505,3
30,PL87,2021-2-19,1m floor s2,TT2_SS_04.txt,0.632726116,0.555552351,1
31,SSW103,2016-3-11,1m floor s2,TT4_SS_01.txt,0.461540939,1.161782496,1
32,SSW103,2016-3-11,1m floor s2,TT4_SS_02.txt,0.681513278,0.915431013,1
33,SSW103,2016-3-11,1m floor s2,TT4_SS_06.txt,0.578493805,0.987925401,1
34,SSW103,2016-3-13,1m floor s2,TT4_SS_01.txt,0.426686407,0.375128761,2
35,SSW103,2016-3-25,1m floor s2,TT2_SS_02.txt,0.34902967,0.326597162,4
36,SSW103,2016-4-8,1m floor s2,TT2_SS_02.txt,0.326727867,0.544827774,6
37,AM8,2021-4-13,1m active raised s3,TT1_SS_07.txt,0.20484687,0.767218894,3
38,AM8,2021-4-13,1m active raised s3,TT4_SS_08.txt,0.355974182,0.67962164,3
39,AM8,2021-4-13,1m active raised s3,TT4_SS_09.txt,0.36372693,0.412057663,3
40,AM8,2021-4-6,1m active raised s3,TT1_SS_02.txt,0.257873018,0.632289292,1
41,AM8,2021-4-6,1m active raised s3,TT1_SS_03.txt,0.441387352,1.188708054,1
42,AM8,2021-4-6,1m active raised s3,TT1_SS_08.txt,0.098884644,0.214293242,1
43,AM8,2021-4-6,1m active raised s3,TT2_SS_01.txt,0.244287211,0.490272592,1
44,AM8,2021-4-6,1m active raised s3,TT2_SS_03.txt,0.150236825,0.337766601,1
45,AM8,2021-4-9,1m active raised s3,TT1_SS_01.txt,0.297344314,0.284710877,2
46,AM8,2021-4-9,1m active raised s3,TT1_SS_07.txt,0.247216689,0.512691996,2
47,AM8,2021-4-9,1m active raised s3,TT1_SS_12.txt,0.268061024,0.163348885,2
48,PL68,2019-4-22a,1m active raised s3,TT2_SS_01.txt,0.194812634,0.171615751,1
49,PL68,2019-4-22a,1m active raised s3,TT2_SS_02.txt,0.398696038,0.721073279,1
50,PL68,2019-4-22a,1m active raised s3,TT2_SS_05.txt,0.348042463,0.792582431,1
51,PL68,2019-5-6,1m active raised s3,TT2_SS_02.txt,0.201089916,0.217084153,3
52,PL68,2019-5-6,1m active raised s3,TT2_SS_03.txt,0.31572763,0.249373801,3
53,PL73,2019-10-21,1m active raised s3,TT1_SS_02.txt,0.298132847,0.690450749,1
54,PL73,2019-10-21,1m active raised s3,TT1_SS_06.txt,0.178525175,0.841744403,1
55,PL73,2019-10-21,1m active raised s3,TT1_SS_07.txt,0.279376255,0.663415668,1
56,PL73,2019-10-21,1m active raised s3,TT1_SS_09.txt,0.19539503,0.457384896,1
57,PL73,2019-10-28,1m active raised s3,TT3_SS_01.txt,0.129709185,0.811598311,2
58,PL73,2019-10-28,1m active raised s3,TT3_SS_03.txt,0.122521507,0.820053557,2
59,PL76,2019-12-11,1m active raised s3,TT3_SS_08.txt,0.279909697,0.242123351,5
60,PL76,2019-12-11,1m active raised s3,TT3_SS_13.txt,0.296518726,0.220481837,5
61,PL76,2019-12-13,1m active raised s3,TT3_SS_02.txt,0.24755413,0.132590226,6
62,PL76,2019-12-13,1m active raised s3,TT3_SS_04.txt,0.427411519,0.58336846,6
63,PL76,2019-12-4,1m active raised s3,TT3_SS_01.txt,0.25751304,0.195795253,1
64,PL76,2019-12-4,1m active raised s3,TT3_SS_02.txt,0.215825519,0.323112925,1
65,PL76,2019-12-5,1m active raised s3,TT1_SS_01.txt,0.571519341,1.048238972,2
66,PL76,2019-12-6,1m active raised s3,TT4_SS_02.txt,0.273588335,0.703971052,3
67,PL87,2021-2-19,1m active raised s3,TT2_SS_04.txt,0.244413417,0.235096549,1
68,SSW103,2016-3-11,1m active raised s3,TT4_SS_01.txt,0.607935489,1.455665162,1
69,SSW103,2016-3-11,1m active raised s3,TT4_SS_02.txt,0.354819795,0.753435782,1
70,SSW103,2016-3-11,1m active raised s3,TT4_SS_06.txt,0.778812288,1.485667606,1
71,SSW103,2016-3-13,1m active raised s3,TT4_SS_01.txt,0.435379091,0.427514141,2
72,SSW103,2016-3-25,1m active raised s3,TT2_SS_02.txt,0.427488856,0.55480147,4
73,SSW103,2016-4-8,1m active raised s3,TT2_SS_02.txt,0.246664065,0.633121581,6
74,AM8,2021-4-13,1m floor s4,TT1_SS_07.txt,0.341196404,0.738010721,3
75,AM8,2021-4-13,1m floor s4,TT4_SS_08.txt,0.420428191,0.816536746,3
76,AM8,2021-4-13,1m floor s4,TT4_SS_09.txt,0.300596001,0.374487758,3
77,AM8,2021-4-6,1m floor s4,TT1_SS_02.txt,0.521058647,0.522221454,1
78,AM8,2021-4-6,1m floor s4,TT1_SS_03.txt,0.501557016,1.176707432,1
79,AM8,2021-4-6,1m floor s4,TT1_SS_08.txt,0.229347279,0.292392706,1
80,AM8,2021-4-6,1m floor s4,TT2_SS_01.txt,0.285459238,0.278056871,1
81,AM8,2021-4-6,1m floor s4,TT2_SS_03.txt,0.13012741,0.276432122,1
82,AM8,2021-4-9,1m floor s4,TT1_SS_01.txt,0.250318332,0.3665975,2
83,AM8,2021-4-9,1m floor s4,TT1_SS_07.txt,0.312896188,0.418027452,2
84,AM8,2021-4-9,1m floor s4,TT1_SS_12.txt,0.256647228,0.198925305,2
85,PL68,2019-4-22a,1m floor s4,TT2_SS_01.txt,0.318449924,0.226421209,1
86,PL68,2019-4-22a,1m floor s4,TT2_SS_02.txt,0.567176515,1.106303888,1
87,PL68,2019-4-22a,1m floor s4,TT2_SS_05.txt,0.467337785,0.95543135,1
88,PL68,2019-5-6,1m floor s4,TT2_SS_02.txt,0.210880045,0.309517227,3
89,PL68,2019-5-6,1m floor s4,TT2_SS_03.txt,0.425676892,0.510642534,3
90,PL73,2019-10-21,1m floor s4,TT1_SS_02.txt,0.325064697,0.46280386,1
91,PL73,2019-10-21,1m floor s4,TT1_SS_06.txt,0.238584413,0.461377113,1
92,PL73,2019-10-21,1m floor s4,TT1_SS_07.txt,0.54341143,0.880489969,1
93,PL73,2019-10-21,1m floor s4,TT1_SS_09.txt,0.219426936,0.319489761,1
94,PL73,2019-10-28,1m floor s4,TT3_SS_01.txt,0.276016422,0.670281722,2
95,PL73,2019-10-28,1m floor s4,TT3_SS_03.txt,0.342038653,0.60921312,2
96,PL76,2019-12-11,1m floor s4,TT3_SS_08.txt,0.183555223,0.398476941,5
97,PL76,2019-12-11,1m floor s4,TT3_SS_13.txt,0.21451512,0.354670404,5
98,PL76,2019-12-13,1m floor s4,TT3_SS_02.txt,0.422414386,0.242178212,6
99,PL76,2019-12-13,1m floor s4,TT3_SS_04.txt,0.700545935,0.730874968,6
100,PL76,2019-12-4,1m floor s4,TT3_SS_01.txt,0.52601627,0.402523636,1
101,PL76,2019-12-4,1m floor s4,TT3_SS_02.txt,0.282134951,0.319513321,1
102,PL76,2019-12-5,1m floor s4,TT1_SS_01.txt,0.61833667,1.068032777,2
103,PL76,2019-12-6,1m floor s4,TT4_SS_02.txt,0.405320034,0.784338007,3
104,PL87,2021-2-19,1m floor s4,TT2_SS_04.txt,0.550996512,0.487105523,1
105,SSW103,2016-3-11,1m floor s4,TT4_SS_01.txt,0.484400927,1.524856227,1
106,SSW103,2016-3-11,1m floor s4,TT4_SS_02.txt,0.613083371,0.743465876,1
107,SSW103,2016-3-11,1m floor s4,TT4_SS_06.txt,0.468976693,0.913799778,1
108,SSW103,2016-3-13,1m floor s4,TT4_SS_01.txt,0.275370083,0.245009509,2
109,SSW103,2016-3-25,1m floor s4,TT2_SS_02.txt,0.396407082,0.476184138,4
110,SSW103,2016-4-8,1m floor s4,TT2_SS_02.txt,0.360856542,0.437767193,6
111,AM8,2021-4-13,1.2m s1,TT1_SS_07.txt,0.238229843,0.405802301,3
112,AM8,2021-4-13,1.2m s1,TT4_SS_08.txt,0.452023825,0.68639462,3
113,AM8,2021-4-13,1.2m s1,TT4_SS_09.txt,0.363151843,0.53349445,3
114,AM8,2021-4-6,1.2m s1,TT1_SS_02.txt,0.505903275,0.704774544,1
115,AM8,2021-4-6,1.2m s1,TT1_SS_03.txt,0.585208677,0.848234128,1
116,AM8,2021-4-6,1.2m s1,TT1_SS_08.txt,0.315387459,0.239024424,1
117,AM8,2021-4-6,1.2m s1,TT2_SS_01.txt,0.315842556,0.291577601,1
118,AM8,2021-4-6,1.2m s1,TT2_SS_03.txt,0.217238187,0.276051879,1
119,AM8,2021-4-9,1.2m s1,TT1_SS_01.txt,0.298795093,0.463776502,2
120,AM8,2021-4-9,1.2m s1,TT1_SS_07.txt,0.306733004,0.524318212,2
121,AM8,2021-4-9,1.2m s1,TT1_SS_12.txt,0.307383932,0.197152153,2
122,PL68,2019-4-22a,1.2m s1,TT2_SS_01.txt,0.313313913,0.184819781,1
123,PL68,2019-4-22a,1.2m s1,TT2_SS_02.txt,0.535826745,1.030084227,1
124,PL68,2019-4-22a,1.2m s1,TT2_SS_05.txt,0.471660692,0.98694759,1
125,PL68,2019-5-6,1.2m s1,TT2_SS_02.txt,0.245905299,0.264869781,3
126,PL68,2019-5-6,1.2m s1,TT2_SS_03.txt,0.27987818,0.347537287,3
127,PL73,2019-10-21,1.2m s1,TT1_SS_02.txt,0.37558258,0.57096995,1
128,PL73,2019-10-21,1.2m s1,TT1_SS_06.txt,0.228545631,0.418739947,1
129,PL73,2019-10-21,1.2m s1,TT1_SS_07.txt,0.361105423,0.613544243,1
130,PL73,2019-10-21,1.2m s1,TT1_SS_09.txt,0.233868695,0.310432951,1
131,PL73,2019-10-28,1.2m s1,TT3_SS_01.txt,0.179116437,0.494162595,2
132,PL73,2019-10-28,1.2m s1,TT3_SS_03.txt,0.257217535,0.472610684,2
133,PL76,2019-12-11,1.2m s1,TT3_SS_08.txt,0.238081403,0.380010745,5
134,PL76,2019-12-11,1.2m s1,TT3_SS_13.txt,0.290189602,0.361287151,5
135,PL76,2019-12-13,1.2m s1,TT3_SS_02.txt,0.437497545,0.328650454,6
136,PL76,2019-12-13,1.2m s1,TT3_SS_04.txt,0.459178829,0.524617042,6
137,PL76,2019-12-4,1.2m s1,TT3_SS_01.txt,0.408827124,0.44304987,1
138,PL76,2019-12-4,1.2m s1,TT3_SS_02.txt,0.272924438,0.412898681,1
139,PL76,2019-12-5,1.2m s1,TT1_SS_01.txt,0.610617811,0.883471612,2
140,PL76,2019-12-6,1.2m s1,TT4_SS_02.txt,0.366332196,0.433642146,3
141,PL87,2021-2-19,1.2m s1,TT2_SS_04.txt,0.450419177,0.244082291,1
142,SSW103,2016-3-11,1.2m s1,TT4_SS_01.txt,0.433677287,1.21873789,1
143,SSW103,2016-3-11,1.2m s1,TT4_SS_02.txt,0.697541916,1.071254439,1
144,SSW103,2016-3-11,1.2m s1,TT4_SS_06.txt,0.640589235,1.349350953,1
145,SSW103,2016-3-13,1.2m s1,TT4_SS_01.txt,0.409134319,0.675926234,2
146,SSW103,2016-3-25,1.2m s1,TT2_SS_02.txt,0.406958723,0.682753232,4
147,SSW103,2016-4-8,1.2m s1,TT2_SS_02.txt,0.342981373,0.781881497,6
